Rk,Team,Conference,W,L,NetRtg,AdjRtg,AdjRk,Win %,PyW %,Luck,Luck Z,Ortg,DRtg,PF,PA,ODrives,DDrives,SOS,SOSFac
122,Oregon State,Pac-12,1,10,-104.046,-132.342,126,0.091,0.207033801,-0.116,-0.592,146.309,250.355,218,353,149,141,38.037,1.272
123,Kent State,Mid-American,4,7,-104.735,-94.371,120,0.364,0.238375913,0.125,1.621,177.083,281.818,255,403,144,143,26.945,0.901
124,San Jose State,Mountain West,2,9,-106.581,-54.060,111,0.182,0.234412886,-0.053,-0.010,176.027,282.609,257,390,146,138,15.168,0.507
125,Rice,American Athletic,4,7,-107.244,-116.734,124,0.364,0.242603972,0.121,1.583,185.938,293.182,238,387,128,132,32.551,1.088
126,Ball State,Mid-American,3,8,-114.635,-53.936,110,0.273,0.177881526,0.095,1.342,135.714,250.350,190,358,140,143,14.070,0.470
127,Purdue,Big Ten,1,10,-115.822,-317.933,135,0.091,0.220048653,-0.129,-0.712,175.781,291.603,225,382,128,131,82.089,2.745
128,UAB,American Athletic,3,8,-121.464,-129.046,125,0.273,0.268132592,0.005,0.515,245.736,367.200,317,459,129,125,31.771,1.062
129,Syracuse,ACC,2,9,-123.701,-233.492,133,0.182,0.194216786,-0.012,0.359,161.333,285.034,242,419,150,147,56.446,1.888
130,UL Monroe,Sun Belt,2,9,-138.375,-56.377,112,0.182,0.151125239,0.031,0.754,139.161,277.536,199,383,143,138,12.184,0.407
131,Georgia State,Sun Belt,0,11,-153.782,-192.209,130,0.000,0.166981695,-0.167,-1.059,170.504,324.286,237,454,139,140,37.377,1.250
132,UCLA,Big Ten,3,9,-164.047,-453.855,136,0.250,0.164065615,0.086,1.261,178.689,342.735,218,401,122,117,82.735,2.767
133,Sam Houston,Conference USA,2,10,-167.213,-75.145,118,0.167,0.129071342,0.038,0.817,145.890,313.103,213,454,146,145,13.439,0.449
134,Oklahoma State,Big 12,0,11,-170.974,-297.016,134,0.000,0.097251584,-0.097,-0.419,118.881,289.855,170,400,143,138,51.950,1.737
135,Charlotte,American Athletic,0,11,-187.598,-219.129,131,0.000,0.086247788,-0.086,-0.318,119.444,307.042,172,436,144,142,34.931,1.168
136,Massachusetts,Mid-American,0,11,-239.438,-109.486,123,0.000,0.043869317,-0.044,0.070,98.519,337.956,133,463,135,137,13.674,0.457
